station,latitude_zone,model,mae,rmse,r2,corr,mape
DW41K,Low,CatBoost,1.3205079853191306,1.6204949542016038,-11.44949649967696,0.8928547738708065,16.680979107390716
DW41K,Low,ElasticNet,1.940104578096598,2.3640954837061323,-7.5122961318618415,0.8019797594878947,23.94774478120036
DW41K,Low,LinearRegression,7.412267790324487,9.63629577380305,-1676.3418055107002,0.6774320193944121,93.1487249177047
DW41K,Low,RandomForest,1.3181613062710988,1.635378072785865,-11.62138688802776,0.879962194927388,15.847561106935055
DW41K,Low,XGBoost,1.3261165747708534,1.642711440658691,-4.277619959165877,0.8826696766723501,16.077358857400572
EA653,N_mid,CatBoost,0.7575748992448068,0.9456016982650346,0.4327105698965715,0.8565424842513583,14.080399014426355
EA653,N_mid,ElasticNet,0.9702149423420116,1.178581060399018,-0.06164676704964945,0.7641070729666807,18.87976011545863
EA653,N_mid,LinearRegression,3.774150024614557,4.903549339805649,-147.7812322804868,0.6617175477605763,76.40097730447357
EA653,N_mid,RandomForest,0.762702780869189,0.9636985086336398,0.34376399028480226,0.8337377810351306,13.95181295694351
EA653,N_mid,XGBoost,0.7677444277050761,0.9688444595071706,0.34060163094625556,0.8326198561847857,14.053943789022398
EB040,N_mid,CatBoost,0.7741932091548179,0.9474445559102018,0.5745855668836591,0.8779148803941926,11.51017799590014
EB040,N_mid,ElasticNet,0.8992370344919406,1.0806826292964482,0.3611169690500726,0.8537072225010454,13.547261839537146
EB040,N_mid,LinearRegression,3.501009782936695,4.544179721266097,-205.8638250941891,0.7156591578206477,54.2169439537107
EB040,N_mid,RandomForest,0.7788598760778895,0.9627292823824305,0.5398851298494952,0.8702998656564496,11.422665703220217
EB040,N_mid,XGBoost,0.7879106140531723,0.9731062519156046,0.5297477536422777,0.8635234958665547,11.59056324126761
EG931,N_mid,CatBoost,0.8458144497955875,1.0209473462975995,0.05479966992606536,0.8809038072518776,11.935684768470349
EG931,N_mid,ElasticNet,1.1334036981395228,1.3566711853348734,-0.9565534858560898,0.8378008001107613,16.185444843501173
EG931,N_mid,LinearRegression,4.456271659907786,5.758685323696943,-103.96060391690195,0.6927512219055523,62.86848634692408
EG931,N_mid,RandomForest,0.8458516793604819,1.0326017272147656,0.06041293620766611,0.862187175260039,11.777855270222776
EG931,N_mid,XGBoost,0.8509463824609876,1.0385767952847351,0.015622698139716068,0.8630983682319442,11.832693231527902
FF051,N_mid,CatBoost,0.7751441601527385,0.9376072349207635,0.49312004795477554,0.9111897085242349,13.848513791422972
